9116,Rap
341581,Pop
341581,R&B
174671,Rock
174671,Pop-Rock
174671,Pop
2228,R&B
2228,Chicago
2228,G.O.O.D. Music
2228,Electro-Pop
2228,Pop
2228,Producer 
80583,R&B
226895,Pop
226895,Rock
37357,Rap
1043,Florida
1043,Producer 
1043,Def Jam Recordings
1043,G.O.O.D. Music
1043,Chicago
1043,Rap
193688,Dance-Pop
193688,Electro-Pop
193688,Pop
98867,Big Machine Records
98867,Country
98867,Pop
765438,Funk
765438,Soul
765438,R&B
765438,Pop
65514,Electronic
65514,Dance
65514,Electro
65514,Pop
56776,Rap
4333,Country
4333,Rock
74392,R&B
733936,Pop-Rock
733936,Rock
746,Rap
357773,R&B
357773,Rap
523,Def Jam Recordings
523,G.O.O.D. Music
523,Chicago
523,Rap
83,Rap
186002,Pop-Rock
186002,Pop
721458,Rock
392169,Pop
392169,Post-Grunge
392169,Alternative
392169,Alternative Rock
392169,Pop-Rock
392169,Rock
30290,Rap
179938,Hard Rock
179938,Post-Grunge
179938,Rock
1375571,Pop
107346,R&B
107346,Rap
6817,Rap
10685,Electronic
10685,Dance
10685,Pop
10685,Rap
1316,Dance-Pop
1316,Pop
51012,Dance-Pop
51012,Pop
10692,Rap
98867,Big Machine Records
98867,Country
98867,Pop
5272,Rap
58874,Adult Contemporary
58874,Adult Alternative
58874,Pop-Rock
58874,Pop
58874,Rock
50873,R&B
50873,Pop
526,Roc Nation
526,Def Jam Recordings
526,Synth-Pop
526,Chicago
526,G.O.O.D. Music
526,R&B
526,Rap
526,Electro-Pop
526,Pop
376579,Pop-Rock
376579,Rock
98869,Big Machine Records
98869,Country
98869,Pop
4368,Grand Hustle
4368,Rap
138503,Pop
138503,Alternative Rock
138503,Rock
51003,Pop-Rock
51003,Pop
51003,Rock
4140,G.O.O.D. Music
4140,Interscope Records
4140,Pop
4140,R&B
4140,Rap
5189,Rap
737,Grand Hustle
737,Roc Nation
737,Atlantic Records
737,Pop
737,Rap
49919,Universal
49919,Interscope Records
49919,Rap
5070,Young Money
5070,Republic Records
5070,Universal Republic Records
5070,YMCMB
5070,Southern
5070,New Orleans
5070,UK
5070,Pop
5070,R&B
5070,Rap
186043,Soundtrack
186043,Pop-Rock
186043,Country
186043,Pop
672,Motown
672,Republic Records
672,R&B
672,Pop
672,Young Money
672,Toronto
672,Canada
672,YMCMB
672,OVO
672,Rap
198567,Pop
52158,Columbia Records
52158,Ballad
52158,R&B
52158,Pop
195945,Pop-Rock
195945,Dance-Pop
195945,Pop
53843,Alternative Rock
53843,Rock
193691,Electro-Pop
193691,Dance-Pop
193691,Pop
2509,Pop
105094,Electronic
105094,Pop
105094,Rap
6252,YMCMB
6252,Young Money
6252,Republic Records
6252,Universal
6252,Universal Republic Records
6252,Pop-Rock
6252,Electronic Rock
6252,Pop
6252,Alternative Rock
6252,Rock
6252,Rap
6028,Pop
6028,R&B
5715,Dance-Pop
5715,Pop
195938,Rock
195938,Pop-Rock
195938,Power Pop
195938,Pop
2443,R&B
195154,Pop-Rock
